date,score_sleep,Duree_sommeil,coucher,lever,FC_repos,FC_max_day,stress,training_status,training_comment,VO2_max_run,training_load
2021-09-05,,,,,,,,Récupération,Manque de charge d'aérobie faible,49.0,79
2021-09-04,,,,,,,,Récupération,Manque de charge d'aérobie faible,49.0,79
2021-09-03,,,,,,,,Récupération,Manque de charge d'aérobie faible,49.0,79
2021-09-02,,,,,,,,Récupération,Manque de charge d'aérobie faible,49.0,871
2021-09-01,,,,,,,,Productif,Manque de charge d'aérobie faible,49.0,"1,709"
2021-08-31,,,,,,,10.0,Productif,Manque de charge d'aérobie faible,49.0,"2,143"
2021-08-30,,,,,,,,Productif,Manque de charge d'aérobie faible,49.0,"2,757"
2021-08-29,,,,,59.0,100.0,11.0,Productif,Manque de charge d'aérobie faible,49.0,"2,757"
2021-08-28,,,,,64.0,103.0,20.0,Productif,Manque de charge d'aérobie faible,49.0,"2,757"
2021-08-27,,,,,,,25.0,Productif,Manque de charge d'aérobie faible,49.0,"3,211"
2021-08-26,,,,,74.0,189.0,13.0,Productif,Manque de charge d'aérobie faible,49.0,"2,419"
2021-08-25,,,,,,,62.0,Récupération,Manque de charge d'aérobie faible,49.0,"1,219"
2021-08-24,,,,,,,13.0,Récupération,Manque de charge d'aérobie faible,49.0,"1,173"
2021-08-23,,,,,,,15.0,Récupération,Manque de charge d'aérobie faible,49.0,603
2021-08-22,,,,,43.0,102.0,5.0,Productif,Manque de charge d'aérobie faible,49.0,"1,417"
2021-08-21,,,,,,,14.0,Productif,Manque de charge d'aérobie faible,49.0,"1,717"
2021-08-20,,,,,72.0,88.0,17.0,Productif,Manque de charge d'aérobie faible,49.0,"1,263"
2021-08-19,,,,,57.0,96.0,17.0,Productif,Manque de charge d'aérobie faible,49.0,"1,708"
2021-08-18,,,,,73.0,144.0,21.0,Productif,Manque de charge d'aérobie faible,49.0,"3,407"
2021-08-17,,,,,69.0,170.0,22.0,Productif,Manque de charge d'aérobie faible,49.0,"4,855"
2021-08-16,,,,,68.0,197.0,15.0,Productif,Manque de charge d'aérobie faible,49.0,"4,980"
2021-08-15,,,,,63.0,192.0,21.0,Productif,Au-dessus des objectifs,49.0,"5,759"
2021-08-14,,,,,,,7.0,Productif,Au-dessus des objectifs,49.0,"5,459"
2021-08-13,,,,,75.0,191.0,18.0,Productif,Au-dessus des objectifs,49.0,"5,677"
2021-08-12,,,,,,,66.0,Productif,Au-dessus des objectifs,49.0,"2,625"
2021-08-11,,,,,,,61.0,Productif,Au-dessus des objectifs,49.0,"2,459"
2021-08-10,,,,,,,5.0,Productif,Au-dessus des objectifs,49.0,"1,975"
2021-08-09,,,,,,,13.0,Productif,Au-dessus des objectifs,49.0,"2,388"
2021-08-08,,,,,,,,Productif,Au-dessus des objectifs,49.0,"2,239"
2021-08-07,,,,,62.0,180.0,14.0,Productif,Au-dessus des objectifs,49.0,"2,239"
2021-08-06,,,,,,,7.0,Productif,Au-dessus des objectifs,49.0,"2,021"
2021-08-05,,,,,66.0,207.0,13.0,Productif,Au-dessus des objectifs,49.0,"2,361"
2021-08-04,,,,,,,33.0,Productif,Au-dessus des objectifs,49.0,"2,747"
2021-08-03,,,,,60.0,197.0,17.0,Productif,Au-dessus des objectifs,49.0,"2,653"
2021-08-02,,,,,73.0,193.0,24.0,Productif,Au-dessus des objectifs,49.0,"2,156"
2021-08-01,,,,,,,,Productif,Au-dessus des objectifs,49.0,"2,695"
2021-07-31,,,,,,,,Productif,Au-dessus des objectifs,49.0,"2,695"
2021-07-30,,,,,64.0,200.0,19.0,Productif,Au-dessus des objectifs,49.0,"2,695"
2021-07-29,,,,,,,57.0,Non productif,Au-dessus des objectifs,49.0,"1,524"
2021-07-28,,,,,,,,Non productif,Au-dessus des objectifs,49.0,"1,309"
2021-07-27,,,,,81.0,139.0,45.0,Non productif,Au-dessus des objectifs,49.0,"1,437"
2021-07-26,,,,,,,25.0,Effort trop soutenu,Au-dessus des objectifs,49.0,"2,251"
2021-07-25,,,,,,,,Effort trop soutenu,Au-dessus des objectifs,49.0,"2,091"
2021-07-24,,,,,,,,Effort trop soutenu,Au-dessus des objectifs,49.0,"2,091"
2021-07-23,,,,,,,,Effort trop soutenu,Au-dessus des objectifs,49.0,"2,384"
2021-07-22,,,,,,,24.0,Effort trop soutenu,Au-dessus des objectifs,49.0,"2,593"
2021-07-21,,,,,86.0,159.0,15.0,Effort trop soutenu,Au-dessus des objectifs,49.0,"3,283"
2021-07-20,,,,,,,75.0,Effort trop soutenu,Au-dessus des objectifs,49.0,"3,274"
2021-07-19,,,,,57.0,144.0,13.0,Productif,Au-dessus des objectifs,49.0,"2,323"
2021-07-18,,,,,,,,Productif,Au-dessus des objectifs,49.0,"2,385"
2021-07-17,,,,,66.0,167.0,21.0,Productif,Au-dessus des objectifs,49.0,"2,385"
2021-07-16,,,,,66.0,181.0,18.0,Productif,Manque de charge d'aérobie faible,50.0,"2,092"
2021-07-15,,,,,58.0,197.0,20.0,Productif,Manque de charge d'aérobie faible,50.0,"1,883"
2021-07-14,,,,,65.0,151.0,18.0,Récupération,Manque de charge d'aérobie faible,50.0,"1,123"
2021-07-13,,,,,,,,Effort trop soutenu,Manque de charge d'aérobie faible,50.0,"1,869"
2021-07-12,,,,,,,,Non productif,Manque de charge d'aérobie faible,50.0,"1,595"
2021-07-11,,,,,,,,Non productif,Manque de charge d'aérobie faible,50.0,"1,454"
2021-07-10,,,,,,,,Non productif,Manque de charge d'aérobie faible,50.0,"1,657"
2021-07-09,,,,,,,,Non productif,Manque de charge d'aérobie faible,50.0,"1,698"
2021-07-08,,,,,,,25.0,Non productif,Manque de charge d'aérobie faible,50.0,"1,816"
2021-07-07,,,,,,,29.0,Effort trop soutenu,Manque de charge d'aérobie faible,50.0,"2,449"
2021-07-06,,,,,,,68.0,Non productif,Manque de charge d'aérobie faible,50.0,"1,584"
2021-07-05,,,,,,,,Non productif,Manque de charge d'aérobie faible,50.0,"1,747"
2021-07-04,,,,,,,11.0,Effort trop soutenu,Manque de charge d'aérobie faible,50.0,"1,979"
2021-07-03,,,,,,,26.0,Non productif,Manque de charge d'aérobie faible,50.0,"1,776"
2021-07-02,,,,,,,,Non productif,Manque de charge d'aérobie faible,50.0,"1,735"
2021-07-01,,,,,84.0,199.0,28.0,Productif,Manque de charge d'aérobie faible,50.0,"1,617"
