type_,start_date_local_,distance_sum,distance_mean,distance_min,distance_max,moving_time_sum,moving_time_mean,moving_time_min,moving_time_max,total_elevation_gain_sum,total_elevation_gain_mean,total_elevation_gain_min,total_elevation_gain_max
Ride,2022-04-14 08:42:57+02:00,8441.6,8441.6,8441.6,8441.6,1202,1202,1202,1202,76.0,76.0,76.0,76.0
Run,2022-04-14 08:22:59+02:00,2997.0,2997.0,2997.0,2997.0,935,935,935,935,28.0,28.0,28.0,28.0
Ride,2022-04-13 17:45:16+02:00,8540.1,8540.1,8540.1,8540.1,1203,1203,1203,1203,72.0,72.0,72.0,72.0
Run,2022-04-13 13:49:14+02:00,3090.6,3090.6,3090.6,3090.6,977,977,977,977,97.0,97.0,97.0,97.0
Swim,2022-04-13 13:25:13+02:00,825.0,825.0,825.0,825.0,935,935,935,935,0.0,0.0,0.0,0.0
Run,2022-04-13 13:11:24+02:00,2032.1,2032.1,2032.1,2032.1,580,580,580,580,4.0,4.0,4.0,4.0
Ride,2022-04-13 08:27:45+02:00,8485.5,8485.5,8485.5,8485.5,1256,1256,1256,1256,66.0,66.0,66.0,66.0
Ride,2022-04-12 17:55:08+02:00,8238.0,8238.0,8238.0,8238.0,1172,1172,1172,1172,61.0,61.0,61.0,61.0
Run,2022-04-12 13:02:16+02:00,9113.7,9113.7,9113.7,9113.7,3126,3126,3126,3126,78.0,78.0,78.0,78.0
Ride,2022-04-12 08:39:35+02:00,8499.0,8499.0,8499.0,8499.0,1228,1228,1228,1228,86.0,86.0,86.0,86.0
Ride,2022-04-11 17:40:45+02:00,8487.5,8487.5,8487.5,8487.5,1378,1378,1378,1378,117.0,117.0,117.0,117.0
Run,2022-04-11 12:44:40+02:00,5008.8,5008.8,5008.8,5008.8,1791,1791,1791,1791,46.0,46.0,46.0,46.0
Ride,2022-04-11 08:38:54+02:00,8479.7,8479.7,8479.7,8479.7,1234,1234,1234,1234,79.0,79.0,79.0,79.0
Run,2022-04-10 09:17:55+02:00,23247.0,23247.0,23247.0,23247.0,7173,7173,7173,7173,89.0,89.0,89.0,89.0
Run,2022-04-09 14:08:15+02:00,1916.0,1916.0,1916.0,1916.0,624,624,624,624,5.0,5.0,5.0,5.0
Ride,2022-04-09 10:14:41+02:00,115905.0,115905.0,115905.0,115905.0,13625,13625,13625,13625,1203.0,1203.0,1203.0,1203.0
Ride,2022-04-08 17:25:59+02:00,8499.6,8499.6,8499.6,8499.6,1192,1192,1192,1192,74.0,74.0,74.0,74.0
Run,2022-04-08 13:28:26+02:00,3009.0,3009.0,3009.0,3009.0,922,922,922,922,119.0,119.0,119.0,119.0
Swim,2022-04-08 12:32:23+02:00,2025.0,2025.0,2025.0,2025.0,2314,2314,2314,2314,0.0,0.0,0.0,0.0
Run,2022-04-08 12:12:57+02:00,2713.4,2713.4,2713.4,2713.4,840,840,840,840,4.0,4.0,4.0,4.0
Ride,2022-04-08 08:33:35+02:00,8534.6,8534.6,8534.6,8534.6,1164,1164,1164,1164,68.0,68.0,68.0,68.0
Ride,2022-04-07 17:33:14+02:00,8505.1,8505.1,8505.1,8505.1,1194,1194,1194,1194,54.0,54.0,54.0,54.0
Ride,2022-04-07 08:36:24+02:00,8468.7,8468.7,8468.7,8468.7,1181,1181,1181,1181,47.0,47.0,47.0,47.0
Run,2022-04-07 08:10:19+02:00,4269.5,4269.5,4269.5,4269.5,1261,1261,1261,1261,11.0,11.0,11.0,11.0
Ride,2022-04-06 17:47:53+02:00,8390.6,8390.6,8390.6,8390.6,1066,1066,1066,1066,55.0,55.0,55.0,55.0
Run,2022-04-06 13:28:20+02:00,3009.4,3009.4,3009.4,3009.4,955,955,955,955,169.0,169.0,169.0,169.0
Swim,2022-04-06 12:41:22+02:00,1975.0,1975.0,1975.0,1975.0,2332,2332,2332,2332,0.0,0.0,0.0,0.0
Run,2022-04-06 12:22:47+02:00,2720.7,2720.7,2720.7,2720.7,815,815,815,815,8.0,8.0,8.0,8.0
Ride,2022-04-06 08:37:09+02:00,8541.5,8541.5,8541.5,8541.5,1160,1160,1160,1160,64.0,64.0,64.0,64.0
Run,2022-04-05 21:03:23+02:00,221.0,221.0,221.0,221.0,68,68,68,68,2.0,2.0,2.0,2.0
Ride,2022-04-05 18:05:27+02:00,11677.9,11677.9,11677.9,11677.9,1619,1619,1619,1619,80.0,80.0,80.0,80.0
Run,2022-04-05 13:25:55+02:00,3047.2,3047.2,3047.2,3047.2,906,906,906,906,27.0,27.0,27.0,27.0
Swim,2022-04-05 12:34:45+02:00,2000.0,2000.0,2000.0,2000.0,2374,2374,2374,2374,0.0,0.0,0.0,0.0
Run,2022-04-05 12:16:16+02:00,2667.9,2667.9,2667.9,2667.9,767,767,767,767,5.0,5.0,5.0,5.0
Ride,2022-04-05 08:38:51+02:00,8450.1,8450.1,8450.1,8450.1,1298,1298,1298,1298,59.0,59.0,59.0,59.0
Ride,2022-04-04 17:52:03+02:00,10615.8,10615.8,10615.8,10615.8,1555,1555,1555,1555,96.0,96.0,96.0,96.0
Run,2022-04-04 13:27:17+02:00,3037.3,3037.3,3037.3,3037.3,1070,1070,1070,1070,28.0,28.0,28.0,28.0
Swim,2022-04-04 12:36:55+02:00,2000.0,2000.0,2000.0,2000.0,2461,2461,2461,2461,0.0,0.0,0.0,0.0
Run,2022-04-04 12:15:41+02:00,2680.6,2680.6,2680.6,2680.6,867,867,867,867,7.0,7.0,7.0,7.0
Ride,2022-04-04 08:42:04+02:00,8569.8,8569.8,8569.8,8569.8,1296,1296,1296,1296,65.0,65.0,65.0,65.0
Run,2022-04-03 20:30:33+02:00,6143.7,6143.7,6143.7,6143.7,1956,1956,1956,1956,9.0,9.0,9.0,9.0
Run,2022-04-02 19:56:13+02:00,11010.5,11010.5,11010.5,11010.5,3437,3437,3437,3437,35.0,35.0,35.0,35.0
Ride,2022-04-01 17:14:35+02:00,7574.6,7574.6,7574.6,7574.6,993,993,993,993,43.0,43.0,43.0,43.0
Run,2022-04-01 13:22:04+02:00,3011.5,3011.5,3011.5,3011.5,949,949,949,949,98.0,98.0,98.0,98.0
Swim,2022-04-01 12:33:03+02:00,2000.0,2000.0,2000.0,2000.0,2425,2425,2425,2425,0.0,0.0,0.0,0.0
Run,2022-04-01 12:15:02+02:00,2613.2,2613.2,2613.2,2613.2,804,804,804,804,8.0,8.0,8.0,8.0
Ride,2022-04-01 09:07:13+02:00,8495.1,8495.1,8495.1,8495.1,1210,1210,1210,1210,93.0,93.0,93.0,93.0
Run,2022-03-31 19:52:10+02:00,4244.8,4244.8,4244.8,4244.8,1318,1318,1318,1318,25.0,25.0,25.0,25.0
Ride,2022-03-31 18:08:03+02:00,8435.9,8435.9,8435.9,8435.9,1050,1050,1050,1050,57.0,57.0,57.0,57.0
Ride,2022-03-31 08:30:34+02:00,8542.6,8542.6,8542.6,8542.6,1224,1224,1224,1224,62.0,62.0,62.0,62.0
Ride,2022-03-30 17:55:43+02:00,8435.7,8435.7,8435.7,8435.7,1131,1131,1131,1131,42.0,42.0,42.0,42.0
Run,2022-03-30 13:20:51+02:00,3024.1,3024.1,3024.1,3024.1,951,951,951,951,203.0,203.0,203.0,203.0
Swim,2022-03-30 12:31:26+02:00,2000.0,2000.0,2000.0,2000.0,2415,2415,2415,2415,0.0,0.0,0.0,0.0
Run,2022-03-30 12:12:09+02:00,2618.7,2618.7,2618.7,2618.7,818,818,818,818,5.0,5.0,5.0,5.0
Ride,2022-03-30 08:35:09+02:00,8510.3,8510.3,8510.3,8510.3,1188,1188,1188,1188,59.0,59.0,59.0,59.0
Ride,2022-03-29 17:56:31+02:00,8455.9,8455.9,8455.9,8455.9,1196,1196,1196,1196,87.0,87.0,87.0,87.0
Run,2022-03-29 13:15:24+02:00,3028.3,3028.3,3028.3,3028.3,948,948,948,948,33.0,33.0,33.0,33.0
Swim,2022-03-29 12:27:02+02:00,2050.0,2050.0,2050.0,2050.0,2433,2433,2433,2433,0.0,0.0,0.0,0.0
Run,2022-03-29 12:09:06+02:00,2662.3,2662.3,2662.3,2662.3,751,751,751,751,9.0,9.0,9.0,9.0
Ride,2022-03-29 08:36:11+02:00,8557.9,8557.9,8557.9,8557.9,1167,1167,1167,1167,100.0,100.0,100.0,100.0
Run,2022-03-28 18:40:45+02:00,2021.7,2021.7,2021.7,2021.7,692,692,692,692,11.0,11.0,11.0,11.0
Ride,2022-03-28 18:15:00+02:00,7610.5,7610.5,7610.5,7610.5,1250,1250,1250,1250,55.0,55.0,55.0,55.0
Ride,2022-03-28 08:36:36+02:00,7655.0,7655.0,7655.0,7655.0,1174,1174,1174,1174,39.0,39.0,39.0,39.0
Run,2022-03-27 15:53:43+02:00,6090.6,6090.6,6090.6,6090.6,2084,2084,2084,2084,30.0,30.0,30.0,30.0
Ride,2022-03-27 09:12:24+02:00,136788.0,136788.0,136788.0,136788.0,17795,17795,17795,17795,1474.0,1474.0,1474.0,1474.0
Run,2022-03-26 17:44:44+01:00,21010.1,21010.1,21010.1,21010.1,6465,6465,6465,6465,51.0,51.0,51.0,51.0
Run,2022-03-26 15:09:59+01:00,841.7,841.7,841.7,841.7,253,253,253,253,37.0,37.0,37.0,37.0
Run,2022-03-25 17:49:40+01:00,6477.0,6477.0,6477.0,6477.0,1971,1971,1971,1971,21.0,21.0,21.0,21.0
Ride,2022-03-25 17:04:27+01:00,8342.6,8342.6,8342.6,8342.6,1254,1254,1254,1254,50.0,50.0,50.0,50.0
Run,2022-03-25 13:40:19+01:00,2064.0,2064.0,2064.0,2064.0,644,644,644,644,106.0,106.0,106.0,106.0
Swim,2022-03-25 12:52:23+01:00,2000.0,2000.0,2000.0,2000.0,2439,2439,2439,2439,0.0,0.0,0.0,0.0
Run,2022-03-25 12:37:58+01:00,2162.2,2162.2,2162.2,2162.2,585,585,585,585,34.0,34.0,34.0,34.0
Ride,2022-03-25 08:34:48+01:00,8480.6,8480.6,8480.6,8480.6,1275,1275,1275,1275,63.0,63.0,63.0,63.0
Run,2022-03-24 20:33:29+01:00,6005.4,6005.4,6005.4,6005.4,2146,2146,2146,2146,13.0,13.0,13.0,13.0
Ride,2022-03-24 18:19:36+01:00,7561.8,7561.8,7561.8,7561.8,1253,1253,1253,1253,79.0,79.0,79.0,79.0
Ride,2022-03-24 08:26:33+01:00,7508.2,7508.2,7508.2,7508.2,1144,1144,1144,1144,44.0,44.0,44.0,44.0
Ride,2022-03-23 18:04:24+01:00,8377.9,8377.9,8377.9,8377.9,1241,1241,1241,1241,62.0,62.0,62.0,62.0
Run,2022-03-23 13:21:15+01:00,3020.5,3020.5,3020.5,3020.5,932,932,932,932,262.0,262.0,262.0,262.0
Swim,2022-03-23 12:33:41+01:00,2025.0,2025.0,2025.0,2025.0,2437,2437,2437,2437,0.0,0.0,0.0,0.0
Run,2022-03-23 12:17:32+01:00,2210.0,2210.0,2210.0,2210.0,684,684,684,684,23.0,23.0,23.0,23.0
Ride,2022-03-23 08:27:46+01:00,8553.7,8553.7,8553.7,8553.7,1244,1244,1244,1244,110.0,110.0,110.0,110.0
Ride,2022-03-22 18:00:41+01:00,8359.0,8359.0,8359.0,8359.0,1225,1225,1225,1225,75.0,75.0,75.0,75.0
Run,2022-03-22 13:24:11+01:00,2999.6,2999.6,2999.6,2999.6,1003,1003,1003,1003,78.0,78.0,78.0,78.0
Swim,2022-03-22 12:32:57+01:00,2075.0,2075.0,2075.0,2075.0,2449,2449,2449,2449,0.0,0.0,0.0,0.0
Run,2022-03-22 12:15:35+01:00,2032.1,2032.1,2032.1,2032.1,660,660,660,660,40.0,40.0,40.0,40.0
Ride,2022-03-22 08:36:54+01:00,8466.0,8466.0,8466.0,8466.0,1178,1178,1178,1178,85.0,85.0,85.0,85.0
Run,2022-03-21 18:08:58+01:00,2039.5,2039.5,2039.5,2039.5,722,722,722,722,36.0,36.0,36.0,36.0
Ride,2022-03-21 17:43:17+01:00,8368.9,8368.9,8368.9,8368.9,1347,1347,1347,1347,93.0,93.0,93.0,93.0
Ride,2022-03-21 08:33:10+01:00,8532.6,8532.6,8532.6,8532.6,1321,1321,1321,1321,82.0,82.0,82.0,82.0
Run,2022-03-20 18:23:01+01:00,17001.0,17001.0,17001.0,17001.0,5691,5691,5691,5691,229.0,229.0,229.0,229.0
Run,2022-03-19 19:27:04+01:00,10006.2,10006.2,10006.2,10006.2,3109,3109,3109,3109,28.0,28.0,28.0,28.0
Run,2022-03-19 12:08:21+01:00,4247.1,4247.1,4247.1,4247.1,1252,1252,1252,1252,24.0,24.0,24.0,24.0
Ride,2022-03-19 09:21:01+01:00,73268.4,73268.4,73268.4,73268.4,9813,9813,9813,9813,688.0,688.0,688.0,688.0
Ride,2022-03-18 17:32:40+01:00,8339.0,8339.0,8339.0,8339.0,1241,1241,1241,1241,62.0,62.0,62.0,62.0
Run,2022-03-18 13:25:17+01:00,3032.3,3032.3,3032.3,3032.3,974,974,974,974,63.0,63.0,63.0,63.0
Swim,2022-03-18 12:37:09+01:00,2025.0,2025.0,2025.0,2025.0,2393,2393,2393,2393,0.0,0.0,0.0,0.0
Run,2022-03-18 12:15:37+01:00,2691.2,2691.2,2691.2,2691.2,844,844,844,844,5.0,5.0,5.0,5.0
Ride,2022-03-18 07:36:42+01:00,8350.6,8350.6,8350.6,8350.6,1155,1155,1155,1155,84.0,84.0,84.0,84.0
Ride,2022-03-17 17:43:38+01:00,21639.1,21639.1,21639.1,21639.1,2940,2940,2940,2940,194.0,194.0,194.0,194.0
Ride,2022-03-17 08:28:22+01:00,8466.5,8466.5,8466.5,8466.5,1223,1223,1223,1223,35.0,35.0,35.0,35.0
Run,2022-03-17 08:07:32+01:00,3014.7,3014.7,3014.7,3014.7,907,907,907,907,6.0,6.0,6.0,6.0
Ride,2022-03-16 17:34:39+01:00,25080.9,25080.9,25080.9,25080.9,3501,3501,3501,3501,162.0,162.0,162.0,162.0
Run,2022-03-16 13:27:24+01:00,2748.0,2748.0,2748.0,2748.0,831,831,831,831,74.0,74.0,74.0,74.0
Swim,2022-03-16 12:38:07+01:00,2050.0,2050.0,2050.0,2050.0,2546,2546,2546,2546,0.0,0.0,0.0,0.0
Run,2022-03-16 12:21:57+01:00,2342.7,2342.7,2342.7,2342.7,732,732,732,732,47.0,47.0,47.0,47.0
Ride,2022-03-16 07:42:15+01:00,8548.7,8548.7,8548.7,8548.7,1179,1179,1179,1179,77.0,77.0,77.0,77.0
Ride,2022-03-15 18:01:46+01:00,8395.5,8395.5,8395.5,8395.5,1273,1273,1273,1273,80.0,80.0,80.0,80.0
Run,2022-03-15 13:31:45+01:00,2151.5,2151.5,2151.5,2151.5,644,644,644,644,63.0,63.0,63.0,63.0
Swim,2022-03-15 12:42:33+01:00,2025.0,2025.0,2025.0,2025.0,2465,2465,2465,2465,0.0,0.0,0.0,0.0
Run,2022-03-15 12:23:59+01:00,2003.3,2003.3,2003.3,2003.3,561,561,561,561,43.0,43.0,43.0,43.0
Ride,2022-03-15 08:38:28+01:00,8299.0,8299.0,8299.0,8299.0,1129,1129,1129,1129,94.0,94.0,94.0,94.0
Ride,2022-03-14 17:40:16+01:00,8388.8,8388.8,8388.8,8388.8,1280,1280,1280,1280,78.0,78.0,78.0,78.0
Run,2022-03-14 13:21:40+01:00,3001.2,3001.2,3001.2,3001.2,982,982,982,982,100.0,100.0,100.0,100.0
Swim,2022-03-14 12:31:26+01:00,2025.0,2025.0,2025.0,2025.0,2478,2478,2478,2478,0.0,0.0,0.0,0.0
Run,2022-03-14 12:14:36+01:00,2035.5,2035.5,2035.5,2035.5,666,666,666,666,46.0,46.0,46.0,46.0
Ride,2022-03-14 08:34:44+01:00,8512.6,8512.6,8512.6,8512.6,1223,1223,1223,1223,69.0,69.0,69.0,69.0
Run,2022-03-13 21:10:40+01:00,3341.1,3341.1,3341.1,3341.1,1051,1051,1051,1051,40.0,40.0,40.0,40.0
Ride,2022-03-13 14:32:10+01:00,30642.7,30642.7,30642.7,30642.7,3638,3638,3638,3638,0.0,0.0,0.0,0.0
Swim,2022-03-13 09:18:23+01:00,500.0,500.0,500.0,500.0,385,385,385,385,0.0,0.0,0.0,0.0
Run,2022-03-12 20:31:48+01:00,3025.0,3025.0,3025.0,3025.0,1100,1100,1100,1100,41.0,41.0,41.0,41.0
Ride,2022-03-11 17:49:31+01:00,7987.3,7987.3,7987.3,7987.3,1139,1139,1139,1139,66.0,66.0,66.0,66.0
Run,2022-03-11 13:27:29+01:00,2063.7,2063.7,2063.7,2063.7,926,926,926,926,80.0,80.0,80.0,80.0
Swim,2022-03-11 12:37:05+01:00,2025.0,2025.0,2025.0,2025.0,2449,2449,2449,2449,0.0,0.0,0.0,0.0
Run,2022-03-11 12:18:45+01:00,2044.1,2044.1,2044.1,2044.1,735,735,735,735,47.0,47.0,47.0,47.0
Ride,2022-03-11 07:43:47+01:00,8490.8,8490.8,8490.8,8490.8,1251,1251,1251,1251,60.0,60.0,60.0,60.0
Run,2022-03-10 17:48:05+01:00,1999.4,1999.4,1999.4,1999.4,946,946,946,946,9.0,9.0,9.0,9.0
Ride,2022-03-10 17:20:12+01:00,7477.3,7477.3,7477.3,7477.3,1242,1242,1242,1242,52.0,52.0,52.0,52.0
Ride,2022-03-10 08:24:50+01:00,7496.3,7496.3,7496.3,7496.3,1213,1213,1213,1213,36.0,36.0,36.0,36.0
Run,2022-03-09 18:50:04+01:00,3000.5,3000.5,3000.5,3000.5,1571,1571,1571,1571,17.0,17.0,17.0,17.0
Ride,2022-03-09 17:18:36+01:00,7585.2,7585.2,7585.2,7585.2,1285,1285,1285,1285,63.0,63.0,63.0,63.0
Ride,2022-03-09 08:33:31+01:00,7480.0,7480.0,7480.0,7480.0,1168,1168,1168,1168,41.0,41.0,41.0,41.0
Ride,2022-03-08 17:47:49+01:00,8386.2,8386.2,8386.2,8386.2,1345,1345,1345,1345,56.0,56.0,56.0,56.0
Run,2022-03-08 13:32:10+01:00,2097.3,2097.3,2097.3,2097.3,1315,1315,1315,1315,54.0,54.0,54.0,54.0
Swim,2022-03-08 12:40:06+01:00,1750.0,1750.0,1750.0,1750.0,2230,2230,2230,2230,0.0,0.0,0.0,0.0
Run,2022-03-08 12:13:49+01:00,2163.6,2163.6,2163.6,2163.6,1288,1288,1288,1288,12.0,12.0,12.0,12.0
Ride,2022-03-08 09:04:49+01:00,8562.1,8562.1,8562.1,8562.1,1344,1344,1344,1344,58.0,58.0,58.0,58.0
Ride,2022-03-07 19:02:39+01:00,8350.1,8350.1,8350.1,8350.1,1367,1367,1367,1367,37.0,37.0,37.0,37.0
Run,2022-03-07 13:18:55+01:00,2235.7,2235.7,2235.7,2235.7,1245,1245,1245,1245,23.0,23.0,23.0,23.0
Swim,2022-03-07 12:48:07+01:00,1025.0,1025.0,1025.0,1025.0,1202,1202,1202,1202,0.0,0.0,0.0,0.0
Run,2022-03-07 12:22:25+01:00,2106.7,2106.7,2106.7,2106.7,1223,1223,1223,1223,22.0,22.0,22.0,22.0
Ride,2022-03-07 08:17:16+01:00,8540.5,8540.5,8540.5,8540.5,1395,1395,1395,1395,32.0,32.0,32.0,32.0
Run,2022-03-06 10:15:38+01:00,21119.6,21119.6,21119.6,21119.6,5835,5835,5835,5835,59.0,59.0,59.0,59.0
Run,2022-03-06 09:50:48+01:00,376.9,376.9,376.9,376.9,105,105,105,105,0.0,0.0,0.0,0.0
Run,2022-03-06 09:17:50+01:00,308.2,308.2,308.2,308.2,52,52,52,52,25.0,25.0,25.0,25.0
Run,2022-03-05 18:29:53+01:00,2068.8,2068.8,2068.8,2068.8,657,657,657,657,5.0,5.0,5.0,5.0
Ride,2022-03-04 17:44:22+01:00,8321.5,8321.5,8321.5,8321.5,1359,1359,1359,1359,44.0,44.0,44.0,44.0
Run,2022-03-04 13:30:51+01:00,2767.4,2767.4,2767.4,2767.4,971,971,971,971,54.0,54.0,54.0,54.0
Swim,2022-03-04 12:40:45+01:00,2000.0,2000.0,2000.0,2000.0,2596,2596,2596,2596,0.0,0.0,0.0,0.0
Run,2022-03-04 12:24:08+01:00,2310.7,2310.7,2310.7,2310.7,745,745,745,745,42.0,42.0,42.0,42.0
Ride,2022-03-04 07:57:11+01:00,8494.5,8494.5,8494.5,8494.5,1166,1166,1166,1166,53.0,53.0,53.0,53.0
Run,2022-03-03 18:12:37+01:00,3003.3,3003.3,3003.3,3003.3,1004,1004,1004,1004,7.0,7.0,7.0,7.0
Ride,2022-03-03 17:50:09+01:00,8322.1,8322.1,8322.1,8322.1,1113,1113,1113,1113,37.0,37.0,37.0,37.0
Ride,2022-03-03 08:32:07+01:00,8291.5,8291.5,8291.5,8291.5,1142,1142,1142,1142,49.0,49.0,49.0,49.0
Ride,2022-03-02 17:50:05+01:00,8320.0,8320.0,8320.0,8320.0,1211,1211,1211,1211,45.0,45.0,45.0,45.0
Run,2022-03-02 13:29:33+01:00,2692.5,2692.5,2692.5,2692.5,897,897,897,897,53.0,53.0,53.0,53.0
Swim,2022-03-02 12:38:54+01:00,2050.0,2050.0,2050.0,2050.0,2648,2648,2648,2648,0.0,0.0,0.0,0.0
Run,2022-03-02 12:22:14+01:00,2314.8,2314.8,2314.8,2314.8,733,733,733,733,28.0,28.0,28.0,28.0
Ride,2022-03-02 07:40:26+01:00,8510.3,8510.3,8510.3,8510.3,1118,1118,1118,1118,57.0,57.0,57.0,57.0
Ride,2022-03-01 18:16:44+01:00,6926.5,6926.5,6926.5,6926.5,1114,1114,1114,1114,47.0,47.0,47.0,47.0
Run,2022-03-01 13:06:43+01:00,2772.2,2772.2,2772.2,2772.2,961,961,961,961,126.0,126.0,126.0,126.0
Swim,2022-03-01 12:33:48+01:00,1275.0,1275.0,1275.0,1275.0,1557,1557,1557,1557,0.0,0.0,0.0,0.0
Run,2022-03-01 12:15:31+01:00,2605.8,2605.8,2605.8,2605.8,833,833,833,833,33.0,33.0,33.0,33.0
Ride,2022-03-01 08:00:44+01:00,8531.1,8531.1,8531.1,8531.1,1217,1217,1217,1217,46.0,46.0,46.0,46.0
Ride,2022-02-28 18:27:24+01:00,8392.8,8392.8,8392.8,8392.8,1251,1251,1251,1251,50.0,50.0,50.0,50.0
Run,2022-02-28 13:17:37+01:00,2382.7,2382.7,2382.7,2382.7,812,812,812,812,155.0,155.0,155.0,155.0
Swim,2022-02-28 12:48:57+01:00,1075.0,1075.0,1075.0,1075.0,1404,1404,1404,1404,0.0,0.0,0.0,0.0
Run,2022-02-28 12:28:33+01:00,2443.7,2443.7,2443.7,2443.7,758,758,758,758,33.0,33.0,33.0,33.0
Ride,2022-02-28 08:38:17+01:00,8256.6,8256.6,8256.6,8256.6,1149,1149,1149,1149,46.0,46.0,46.0,46.0
Run,2022-02-27 07:51:01+01:00,5127.4,5127.4,5127.4,5127.4,1987,1987,1987,1987,153.0,153.0,153.0,153.0
Run,2022-02-26 18:02:01+01:00,7126.1,7126.1,7126.1,7126.1,2796,2796,2796,2796,126.0,126.0,126.0,126.0
Ride,2022-02-25 17:35:23+01:00,8748.3,8748.3,8748.3,8748.3,1031,1031,1031,1031,42.0,42.0,42.0,42.0
Run,2022-02-25 12:19:48+01:00,8480.7,8480.7,8480.7,8480.7,3219,3219,3219,3219,26.0,26.0,26.0,26.0
Ride,2022-02-25 07:46:42+01:00,8525.6,8525.6,8525.6,8525.6,1087,1087,1087,1087,46.0,46.0,46.0,46.0
Ride,2022-02-24 18:02:54+01:00,9581.9,9581.9,9581.9,9581.9,1267,1267,1267,1267,56.0,56.0,56.0,56.0
Ride,2022-02-24 08:18:52+01:00,8484.2,8484.2,8484.2,8484.2,1176,1176,1176,1176,48.0,48.0,48.0,48.0
Run,2022-02-24 08:01:41+01:00,2011.7,2011.7,2011.7,2011.7,784,784,784,784,5.0,5.0,5.0,5.0
Ride,2022-02-23 18:03:15+01:00,9368.9,9368.9,9368.9,9368.9,1398,1398,1398,1398,59.0,59.0,59.0,59.0
Run,2022-02-23 12:10:18+01:00,11330.4,11330.4,11330.4,11330.4,3732,3732,3732,3732,72.0,72.0,72.0,72.0
Ride,2022-02-23 08:34:13+01:00,8516.1,8516.1,8516.1,8516.1,1188,1188,1188,1188,71.0,71.0,71.0,71.0
Run,2022-02-22 18:15:25+01:00,1497.2,1497.2,1497.2,1497.2,472,472,472,472,5.0,5.0,5.0,5.0
Run,2022-02-22 13:32:58+01:00,2120.2,2120.2,2120.2,2120.2,686,686,686,686,11.0,11.0,11.0,11.0
Ride,2022-02-21 17:56:27+01:00,9512.4,9512.4,9512.4,9512.4,1350,1350,1350,1350,62.0,62.0,62.0,62.0
Run,2022-02-21 12:24:52+01:00,12165.1,12165.1,12165.1,12165.1,4053,4053,4053,4053,66.0,66.0,66.0,66.0
Ride,2022-02-21 08:44:27+01:00,5730.4,5730.4,5730.4,5730.4,839,839,839,839,46.0,46.0,46.0,46.0
Ride,2022-02-20 12:35:31+01:00,88103.8,88103.8,88103.8,88103.8,9442,9442,9442,9442,562.0,562.0,562.0,562.0
Ride,2022-02-20 12:09:57+01:00,3552.5,3552.5,3552.5,3552.5,648,648,648,648,16.0,16.0,16.0,16.0
Run,2022-02-20 07:45:53+01:00,3130.2,3130.2,3130.2,3130.2,1704,1704,1704,1704,50.0,50.0,50.0,50.0
Ride,2022-02-19 16:38:42+01:00,2414.1,2414.1,2414.1,2414.1,365,365,365,365,7.0,7.0,7.0,7.0
Run,2022-02-19 08:15:05+01:00,4498.5,4498.5,4498.5,4498.5,1623,1623,1623,1623,8.0,8.0,8.0,8.0
Ride,2022-02-18 18:12:15+01:00,9589.1,9589.1,9589.1,9589.1,1464,1464,1464,1464,51.0,51.0,51.0,51.0
Run,2022-02-18 12:35:18+01:00,7331.2,7331.2,7331.2,7331.2,2741,2741,2741,2741,27.0,27.0,27.0,27.0
Ride,2022-02-18 08:29:03+01:00,8556.0,8556.0,8556.0,8556.0,1199,1199,1199,1199,62.0,62.0,62.0,62.0
Ride,2022-02-17 18:18:13+01:00,9395.7,9395.7,9395.7,9395.7,1441,1441,1441,1441,54.0,54.0,54.0,54.0
Ride,2022-02-17 08:18:54+01:00,8588.5,8588.5,8588.5,8588.5,1291,1291,1291,1291,74.0,74.0,74.0,74.0
Run,2022-02-17 07:47:24+01:00,4287.8,4287.8,4287.8,4287.8,1531,1531,1531,1531,8.0,8.0,8.0,8.0
Ride,2022-02-16 18:14:56+01:00,9414.4,9414.4,9414.4,9414.4,1450,1450,1450,1450,52.0,52.0,52.0,52.0
Run,2022-02-16 12:53:30+01:00,9004.4,9004.4,9004.4,9004.4,3369,3369,3369,3369,51.0,51.0,51.0,51.0
Ride,2022-02-16 08:36:13+01:00,8259.4,8259.4,8259.4,8259.4,1195,1195,1195,1195,44.0,44.0,44.0,44.0
Ride,2022-02-16 06:05:28+01:00,23404.1,23404.1,23404.1,23404.1,3365,3365,3365,3365,95.0,95.0,95.0,95.0
Run,2022-02-15 17:48:14+01:00,5121.6,5121.6,5121.6,5121.6,1927,1927,1927,1927,14.0,14.0,14.0,14.0
Ride,2022-02-14 17:26:24+01:00,9347.6,9347.6,9347.6,9347.6,1262,1262,1262,1262,54.0,54.0,54.0,54.0
Run,2022-02-14 12:15:37+01:00,12093.4,12093.4,12093.4,12093.4,3866,3866,3866,3866,50.0,50.0,50.0,50.0
Ride,2022-02-14 08:35:14+01:00,8258.6,8258.6,8258.6,8258.6,1180,1180,1180,1180,50.0,50.0,50.0,50.0
Run,2022-02-13 16:30:17+01:00,7098.4,7098.4,7098.4,7098.4,2537,2537,2537,2537,40.0,40.0,40.0,40.0
Run,2022-02-12 15:37:17+01:00,1722.7,1722.7,1722.7,1722.7,552,552,552,552,2.5,2.5,2.5,2.5
Ride,2022-02-12 08:58:15+01:00,95952.6,95952.6,95952.6,95952.6,12613,12613,12613,12613,1177.0,1177.0,1177.0,1177.0
