type_,start_date_local_,distance_sum,distance_mean,distance_min,distance_max,moving_time_sum,moving_time_mean,moving_time_min,moving_time_max,total_elevation_gain_sum,total_elevation_gain_mean,total_elevation_gain_min,total_elevation_gain_max
Run,2022-06-13 13:32:39+02:00,3214.4,3214.4,3214.4,3214.4,1090,1090,1090,1090,53.0,53.0,53.0,53.0
Swim,2022-06-13 12:40:59+02:00,1975.0,1975.0,1975.0,1975.0,2373,2373,2373,2373,0.0,0.0,0.0,0.0
Run,2022-06-13 12:20:31+02:00,2856.0,2856.0,2856.0,2856.0,954,954,954,954,3.0,3.0,3.0,3.0
Ride,2022-06-13 08:02:44+02:00,24721.0,24721.0,24721.0,24721.0,3357,3357,3357,3357,168.0,168.0,168.0,168.0
Run,2022-06-11 16:25:28+02:00,1151.8,1151.8,1151.8,1151.8,503,503,503,503,3.0,3.0,3.0,3.0
Run,2022-06-11 14:08:07+02:00,18188.6,18188.6,18188.6,18188.6,7401,7401,7401,7401,37.0,37.0,37.0,37.0
Ride,2022-06-11 11:10:53+02:00,83440.1,83440.1,83440.1,83440.1,9946,9946,9946,9946,550.0,550.0,550.0,550.0
Ride,2022-06-10 17:43:02+02:00,8525.2,8525.2,8525.2,8525.2,1292,1292,1292,1292,66.0,66.0,66.0,66.0
Run,2022-06-10 13:26:26+02:00,4713.5,4713.5,4713.5,4713.5,1505,1505,1505,1505,34.0,34.0,34.0,34.0
Swim,2022-06-10 12:38:47+02:00,2000.0,2000.0,2000.0,2000.0,2321,2321,2321,2321,0.0,0.0,0.0,0.0
Run,2022-06-10 12:18:45+02:00,2767.3,2767.3,2767.3,2767.3,890,890,890,890,3.0,3.0,3.0,3.0
Ride,2022-06-10 08:05:39+02:00,26461.4,26461.4,26461.4,26461.4,3299,3299,3299,3299,153.0,153.0,153.0,153.0
Ride,2022-06-09 17:49:00+02:00,8547.9,8547.9,8547.9,8547.9,1186,1186,1186,1186,70.0,70.0,70.0,70.0
Ride,2022-06-09 08:12:09+02:00,18877.6,18877.6,18877.6,18877.6,2451,2451,2451,2451,149.0,149.0,149.0,149.0
Ride,2022-06-08 17:59:58+02:00,8467.8,8467.8,8467.8,8467.8,1235,1235,1235,1235,38.0,38.0,38.0,38.0
Run,2022-06-08 13:35:28+02:00,2334.8,2334.8,2334.8,2334.8,761,761,761,761,68.0,68.0,68.0,68.0
Swim,2022-06-08 12:43:52+02:00,2000.0,2000.0,2000.0,2000.0,2323,2323,2323,2323,0.0,0.0,0.0,0.0
Run,2022-06-08 12:32:13+02:00,1772.2,1772.2,1772.2,1772.2,460,460,460,460,1.0,1.0,1.0,1.0
Run,2022-06-08 12:30:40+02:00,217.1,217.1,217.1,217.1,66,66,66,66,0.0,0.0,0.0,0.0
Ride,2022-06-08 08:02:22+02:00,26935.5,26935.5,26935.5,26935.5,3477,3477,3477,3477,186.0,186.0,186.0,186.0
Ride,2022-06-07 18:12:19+02:00,8362.2,8362.2,8362.2,8362.2,1220,1220,1220,1220,40.0,40.0,40.0,40.0
Run,2022-06-07 13:27:02+02:00,3082.1,3082.1,3082.1,3082.1,1052,1052,1052,1052,44.0,44.0,44.0,44.0
Swim,2022-06-07 12:37:44+02:00,2000.0,2000.0,2000.0,2000.0,2492,2492,2492,2492,0.0,0.0,0.0,0.0
Run,2022-06-07 12:26:17+02:00,1357.8,1357.8,1357.8,1357.8,355,355,355,355,0.0,0.0,0.0,0.0
Run,2022-06-07 12:25:35+02:00,62.3,62.3,62.3,62.3,23,23,23,23,0.0,0.0,0.0,0.0
Run,2022-06-07 12:18:43+02:00,1210.1,1210.1,1210.1,1210.1,377,377,377,377,4.2,4.2,4.2,4.2
Ride,2022-06-07 08:56:26+02:00,8428.2,8428.2,8428.2,8428.2,1195,1195,1195,1195,56.0,56.0,56.0,56.0
